Deal ID;Companies;Net Income;Current Financing Status;Year Founded;Primary Industry Sector;Primary Industry Group;Deal Size;Post Valuation;Deal Date;Deal Type;Investors;PitchBook Link
244611-46T;Biosport Athletechs;;Formerly Angel backed;2012;Consumer Products and Services (B2C);Consumer Durables;;;01-May-2023;Secondary Transaction - Private;;View Company Online
73275-49T;Biospot Solutions;;Accelerator/Incubator Backed;2016;Information Technology;IT Services;;;;Accelerator/Incubator;PSG-Science and Technology Entrepreneurial Park;View Company Online
87326-11T;BioStar Energy Group;;Venture Capital-Backed;2013;Energy;Energy Services;;;;Early Stage VC;;View Company Online
87327-46T;BioStar Energy Group;;Venture Capital-Backed;2013;Energy;Energy Services;;;;Grant;;View Company Online
73237-24T;BioStealth;;Corporation;2014;Healthcare;Pharmaceuticals and Biotechnology;0,16;;30-Jun-2015;Grant;U.S. Department of Health and Human Services;View Company Online
101877-94T;Biostone;;Corporate Backed or Acquired;2016;Healthcare;Healthcare Devices and Supplies;;;;Joint Venture;Holymed Medical, Wollaton Medical Consultancy;View Company Online
277437-52T;Biosus Energy;;Angel-Backed;2013;Business Products and Services (B2B);Commercial Services;0,12;26,57;04-Oct-2024;Equity Crowdfunding;;View Company Online
192658-60T;BioSynaptica;;Accelerator/Incubator Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;;;;Accelerator/Incubator;Aceleradora Litoral;View Company Online
192659-59T;BioSynaptica;;Accelerator/Incubator Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;0,01;;17-Nov-2020;Grant;Massachusetts Institute of Technology Endowment, Technological Institute of Buenos Aires;View Company Online
269827-03T;BioSynthetica;;Accelerator/Incubator Backed;2022;Healthcare;Pharmaceuticals and Biotechnology;;;03-Feb-2022;Accelerator/Incubator;Nucleate(Soufiane Aboulhouda);View Company Online
267545-71T;Biota (Business/Productivity Software);;Venture Capital-Backed;2024;Information Technology;Software;0,23;;27-Jun-2024;Seed Round;Antler;View Company Online
129688-84T;Biotality;;Accelerator/Incubator Backed;2017;Materials and Resources;Chemicals and Gases;;;15-May-2017;Accelerator/Incubator;Ag TechInventures;View Company Online
129786-13T;Biotality;;Accelerator/Incubator Backed;2017;Materials and Resources;Chemicals and Gases;10,99;;01-Mar-2020;Angel (individual);;View Company Online
170468-38T;Biotax;;Venture Capital-Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;0,09;;06-Jul-2020;Accelerator/Incubator;The Technion DRIVE Accelerator;View Company Online
170468-56T;Biotax;;Venture Capital-Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;;;08-Feb-2021;Accelerator/Incubator;Illumina (NAS: ILMN);View Company Online
192454-12T;Biotax;;Venture Capital-Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;0,21;2,57;01-Jun-2021;Seed Round;First In Ventures, Illumina (NAS: ILMN), The Technion DRIVE Accelerator, Zora Ventures;View Company Online
247775-14T;Biotax;;Venture Capital-Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;;;;Secondary Transaction - Private;;View Company Online
99555-04T;BioTechnic Products;;Accelerator/Incubator Backed;2009;Healthcare;Pharmaceuticals and Biotechnology;;;;Accelerator/Incubator;Massachusetts Biomedical Initiatives;View Company Online
211703-50T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,30;;01-Jan-2007;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211704-04T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,57;;01-Jan-2006;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211704-22T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,63;;01-Jan-2006;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211704-40T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,64;;01-Jan-2004;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211705-03T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,11;;01-Jan-2004;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211705-30T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,14;;01-Jan-2004;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211705-57T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,05;;01-Jan-2004;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211705-66T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,75;;01-Jan-2003;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211705-84T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,73;;01-Jan-2003;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211706-02T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,14;;01-Jan-2002;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211706-38T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,15;;01-Jan-2002;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211706-65T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,48;;01-Jan-2001;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211706-92T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,12;;01-Jan-2001;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211707-10T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,40;;01-Jan-2000;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
211707-28T;BioTechPlex;;Corporation;;Healthcare;Pharmaceuticals and Biotechnology;0,11;;01-Jan-2000;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
153708-58T;BioTesserae;;Venture Capital-Backed;2016;Consumer Products and Services (B2C);Services (Non-Financial);;;01-Jun-2020;Accelerator/Incubator;National Science Foundation Innovation Corps Program;View Company Online
153710-02T;BioTesserae;;Venture Capital-Backed;2016;Consumer Products and Services (B2C);Services (Non-Financial);0,02;;24-Oct-2019;Grant;Oregon State University, Bend;View Company Online
190645-84T;BioTesserae;;Venture Capital-Backed;2016;Consumer Products and Services (B2C);Services (Non-Financial);0,09;;06-Jan-2022;Seed Round;Expert DOJO(Genevieve LeMarchal);View Company Online
178009-84T;Biothea Pharmaceuticals;;Venture Capital-Backed;;Healthcare;Pharmaceuticals and Biotechnology;18,60;48,20;05-Aug-2021;Later Stage VC;Morningside Group;View Company Online
87333-67T;Biothermia;;Accelerator/Incubator Backed;2014;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;Wayra;View Company Online
175350-16T;BioTip;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;0,18;;01-Jan-2020;Grant;Israel Innovation Authority;View Company Online
217397-35T;BioTip;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;0,20;;01-Jun-2020;Grant;Innovate UK;View Company Online
233549-02T;BioTip;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;;;;Accelerator/Incubator;SouthUp Ventures;View Company Online
234732-07T;BioTip;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;;;;Accelerator/Incubator;Plug and Play Tech Center;View Company Online
234732-34T;BioTip;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;;;;Accelerator/Incubator;EIT Food;View Company Online
235128-61T;BioTip;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;;;;Seed Round;;View Company Online
248047-12T;Biotome;;Accelerator/Incubator Backed;2017;Healthcare;Pharmaceuticals and Biotechnology;;;01-Jun-2023;Accelerator/Incubator;MedTech Innovator;View Company Online
248064-76T;Biotome;;Accelerator/Incubator Backed;2017;Healthcare;Pharmaceuticals and Biotechnology;0,44;;07-Mar-2022;Grant;Government Of Western Australia;View Company Online
257725-00T;BioTrac;;Venture Capital-Backed;;Information Technology;Computer Hardware;;;;Seed Round;University Technology Fund;View Company Online
247275-64T;Biotronic Innovations;;Corporation;2022;Information Technology;Computer Hardware;0,25;;15-Sep-2023;Grant;National Science Foundation(Juan Figueroa);View Company Online
254602-45T;BioTryp Therapeutics;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;0,05;;13-Mar-2024;Accelerator/Incubator;Founders at the University of Cambridge;View Company Online
254602-54T;BioTryp Therapeutics;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;0,01;;25-Jan-2024;Grant;Trinity Bradfield;View Company Online
272420-20T;BioTryp Therapeutics;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;0,35;;15-Aug-2024;Seed Round;Cambridge Enterprise(Amanda Wooding), Parkwalk Advisors, QUBIS;View Company Online
272421-28T;BioTryp Therapeutics;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;15-Mar-2023;Accelerator/Incubator;University of Cambridge;View Company Online
272421-91T;BioTryp Therapeutics;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;30-Mar-2023;Accelerator/Incubator;National Biofilms Innovation Centre;View Company Online
272425-87T;BioTryp Therapeutics;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;24-Jul-2023;Accelerator/Incubator;Innovate UK;View Company Online
38454-22T;BioTx;;Accelerator/Incubator Backed;;Healthcare;Healthcare Devices and Supplies;;;01-Jun-2012;Accelerator/Incubator;StartX (US);View Company Online
276380-74T;Biovit Technologies;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;04-Jul-2024;Seed Round;Enterprise Ireland;View Company Online
276388-84T;Biovit Technologies;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;27-Jun-2024;Accelerator/Incubator;Furthr;View Company Online
275215-87T;Biovitreous;;Accelerator/Incubator Backed;;Healthcare;Pharmaceuticals and Biotechnology;;;;Accelerator/Incubator;SASTRA ABLEST;View Company Online
273263-14T;Bioxel;;Venture Capital-Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;;Early Stage VC;Biological Engineering Ventures;View Company Online
188659-27T;Biozeroc;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Products;0,49;4,17;31-Mar-2022;Early Stage VC;Carbon13(Chris Coleridge), Zero Carbon Capital(Philippa Gawley);View Company Online
210219-31T;Biozeroc;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Products;0,24;;30-Mar-2022;Accelerator/Incubator;Greenhouse Accelerator;View Company Online
216283-33T;Biozeroc;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Products;0,06;;01-Nov-2022;Grant;Innovate UK;View Company Online
217488-88T;Biozeroc;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Products;0,06;;01-Nov-2022;Grant;Innovate UK;View Company Online
247913-92T;Biozeroc;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Products;0,94;;04-Oct-2023;Grant;Innovate UK;View Company Online
271036-00T;Biptap;;Venture Capital-Backed;2018;Financial Services;Other Financial Services;1,82;;30-Aug-2024;Seed Round;Crypto DATA, Douglas Gan, GBCI Ventures, Jamie PG, Max X+, pg group (GodJira Island), Redacted Group, Shan PG, Staynex, Suga (angel), Yuen Staynex, Zhu Su(Zhu Su);View Company Online
278830-72T;BIPV Enablers;;Accelerator/Incubator Backed;;Information Technology;Software;;;01-Jul-2020;Accelerator/Incubator;CSIRO ON Accelerate;View Company Online
199823-23T;Birch Biosciences;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;0,23;;01-Apr-2022;Grant;National Science Foundation(Erik Pierstorff);View Company Online
199823-41T;Birch Biosciences;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;0,47;;02-Jul-2022;Accelerator/Incubator;Y Combinator;View Company Online
201936-88T;Birch Biosciences;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;0,23;;14-Feb-2022;Grant;U.S. Department of Energy;View Company Online
205922-53T;Birch Biosciences;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;;;01-Apr-2023;Seed Round;Climate Capital, Elevate Capital, Fundament, Liquid 2 Ventures, Olive Tree Capital, Pegasus Tech Ventures, Pioneer Fund, Plug and Play Tech Center, Scale Asia Ventures, Y Combinator;View Company Online
205923-79T;Birch Biosciences;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;;;01-Jan-2022;Angel (individual);Benjamin Wellmann(Benjamin Wellmann), Ian McNish(Ian McNish), Raymond Russell(Raymond Russell);View Company Online
239388-49T;Birch Biosciences;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;0,25;;31-Dec-2022;Grant;U.S. Department of Energy;View Company Online
269224-48T;Birch Biosciences;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;1,54;;04-Mar-2023;Grant;Small Business Innovation Research and Small Business Technology Transfer Programs;View Company Online
67499-74T;Birchtree Energy;;Failed Transaction (M&A);2014;Business Products and Services (B2B);Commercial Products;;;21-Apr-2015;Reverse Merger;;View Company Online
39344-32T;Birdex;;Venture Capital-Backed;2014;Business Products and Services (B2B);Commercial Services;4,60;;25-Mar-2015;Early Stage VC;Bertelsmann Asia Investments, China Renaissance (HKG: 01911);View Company Online
168949-81T;Birdex;;Venture Capital-Backed;2014;Business Products and Services (B2B);Commercial Services;;;08-Apr-2014;Seed Round;MPCi;View Company Online
258650-83T;Birdie Houses;;Venture Capital-Backed;2024;Consumer Products and Services (B2C);Restaurants, Hotels and Leisure;0,23;;06-May-2024;Seed Round;Old Tom Venture Club;View Company Online
53093-62T;Birdseye Mail;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;;;;Accelerator/Incubator;Prehype;View Company Online
53093-71T;Birdseye Mail;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;;;01-Jan-2013;Merger/Acquisition;Nebius Group (NAS: NBIS);View Company Online
265664-44T;Birdtone;;Accelerator/Incubator Backed;2023;Information Technology;Software;;;01-Jan-2024;Accelerator/Incubator;Hamamatsu Startup;View Company Online
199495-18T;BiRed Imaging;;Accelerator/Incubator Backed;2013;Healthcare;Healthcare Devices and Supplies;;;01-Apr-2022;Accelerator/Incubator;National Science Foundation;View Company Online
199800-46T;BiRed Imaging;;Accelerator/Incubator Backed;2013;Healthcare;Healthcare Devices and Supplies;0,23;;01-Jan-2022;Grant;National Science Foundation;View Company Online
199801-09T;BiRed Imaging;;Accelerator/Incubator Backed;2013;Healthcare;Healthcare Devices and Supplies;0,09;;01-Jan-2016;Grant;National Science Foundation;View Company Online
233521-84T;BiRed Imaging;;Accelerator/Incubator Backed;2013;Healthcare;Healthcare Devices and Supplies;0,14;;;Capitalization;;View Company Online
269525-98T;BiRed Imaging;;Accelerator/Incubator Backed;2013;Healthcare;Healthcare Devices and Supplies;;;;Accelerator/Incubator;RIT Venture Creations Incubator;View Company Online
269526-25T;BiRed Imaging;;Accelerator/Incubator Backed;2013;Healthcare;Healthcare Devices and Supplies;0,01;;;Accelerator/Incubator;CNY Biotech Accelerator(Kathi Durdon);View Company Online
217691-20T;Birmingham Chamber Of Commerce And Industry;;Corporation;1903;Business Products and Services (B2B);Commercial Services;0,63;;01-Jan-2017;Grant;Innovate UK;View Company Online
217691-29T;Birmingham Chamber Of Commerce And Industry;1,92;Corporation;1903;Business Products and Services (B2B);Commercial Services;0,68;;01-Jan-2020;Grant;Innovate UK;View Company Online
217691-38T;Birmingham Chamber Of Commerce And Industry;0,04;Corporation;1903;Business Products and Services (B2B);Commercial Services;0,28;;01-Jan-2019;Grant;Innovate UK;View Company Online
217691-47T;Birmingham Chamber Of Commerce And Industry;0,16;Corporation;1903;Business Products and Services (B2B);Commercial Services;0,04;;01-Jun-2018;Grant;Innovate UK;View Company Online
236253-70T;Birmingham Public Library;;Corporation;1886;Information Technology;Software;0,04;;31-Dec-2021;Grant;Institute of Museum and Library Services;View Company Online
39071-62T;Birthday Slam;;Formerly VC-backed;2010;Information Technology;Software;0,08;;01-Oct-2010;Seed Round;3W Capital;View Company Online
39071-98T;Birthday Slam;;Formerly VC-backed;2010;Information Technology;Software;0,24;0,24;18-Jul-2012;Merger/Acquisition;Plyzer Technologies(Jeff Robinson);View Company Online
225486-19T;BirthGlide;;Venture Capital-Backed;2019;Healthcare;Healthcare Devices and Supplies;0,35;3,50;28-Jun-2022;Early Stage VC;Immetric(Pamela Stentiford);View Company Online
225631-54T;BirthGlide;;Venture Capital-Backed;2019;Healthcare;Healthcare Devices and Supplies;0,07;0,34;30-Apr-2020;Angel (individual);;View Company Online
225632-08T;BirthGlide;;Venture Capital-Backed;2019;Healthcare;Healthcare Devices and Supplies;0,09;0,26;14-Dec-2020;Angel (individual);;View Company Online
225633-16T;BirthGlide;;Venture Capital-Backed;2019;Healthcare;Healthcare Devices and Supplies;0,06;0,34;07-Feb-2022;Angel (individual);;View Company Online
46673-29T;BIS Technology;;Corporation;2011;Information Technology;Software;;;28-Nov-2013;Grant;Skolkovo Foundation;View Company Online
167508-91T;Bisaibang;;Venture Capital-Backed;2016;Information Technology;Software;;;24-Feb-2017;Early Stage VC;China Telescope Investments;View Company Online
167509-00T;Bisaibang;;Venture Capital-Backed;2016;Information Technology;Software;;;27-Jul-2017;Early Stage VC;China Growth Capital;View Company Online
143434-18T;Bishop Museum;;Corporation;1889;Business Products and Services (B2B);Commercial Services;1,34;;04-Apr-2020;Debt - PPP;;View Company Online
235668-52T;Bishop Museum;;Corporation;1889;Business Products and Services (B2B);Commercial Services;1,37;;31-Dec-2019;Grant;U.S. Department of Commerce;View Company Online
235668-79T;Bishop Museum;;Corporation;1889;Business Products and Services (B2B);Commercial Services;0,77;;31-Dec-2015;Grant;National Aeronautics and Space Administration, U.S. Department of Interior;View Company Online
236295-73T;Bishop Museum;;Corporation;1889;Business Products and Services (B2B);Commercial Services;0,06;;31-Dec-2018;Grant;United States Department of Agriculture;View Company Online
236295-82T;Bishop Museum;;Corporation;1889;Business Products and Services (B2B);Commercial Services;0,45;;31-Dec-2016;Grant;National Endowment for the Humanities, U.S. Department of Commerce, United States Department of Agriculture;View Company Online
236296-00T;Bishop Museum;;Corporation;1889;Business Products and Services (B2B);Commercial Services;1,00;;31-Dec-2020;Grant;Institute of Museum and Library Services, U.S. Department of Education, U.S. Department of Interior, United States Department of Agriculture;View Company Online
239646-70T;Bishop Museum;;Corporation;1889;Business Products and Services (B2B);Commercial Services;0,31;;31-Dec-2017;Grant;Institute of Museum and Library Services, United States Department of Defense;View Company Online
239646-79T;Bishop Museum;;Corporation;1889;Business Products and Services (B2B);Commercial Services;0,98;;31-Dec-2021;Grant;Institute of Museum and Library Services, National Endowment for the Humanities, The National Endowment for the Arts;View Company Online
250589-26T;Bison Biotech;;Accelerator/Incubator Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;;;;Accelerator/Incubator;UK Space Agency Accelerator;View Company Online
26227-81T;BISS;;Formerly VC-backed;1993;Consumer Products and Services (B2C);Media;;;;Early Stage VC;BonVenture;View Company Online
26228-08T;BISS;;Formerly VC-backed;1993;Consumer Products and Services (B2C);Media;;;;Secondary Transaction - Private;;View Company Online
54590-59T;BISSELL Pet Foundation;;Corporation;2011;Healthcare;Healthcare Services;0,46;;01-Jan-2014;Grant;;View Company Online
54591-94T;BISSELL Pet Foundation;;Corporation;2011;Healthcare;Healthcare Services;0,45;;09-Jun-2015;Grant;;View Company Online
248413-51T;Bissnex;;Venture Capital-Backed;2020;Business Products and Services (B2B);Commercial Services;;;01-Apr-2023;Early Stage VC;Multicoin Capital, NGC Ventures, Pantera Capital, Paradigm;View Company Online
130072-24T;Bit Harmonics;;Formerly Accelerator/Incubator backed;2013;Energy;Energy Services;;;01-Jan-2013;Accelerator/Incubator;iCatalysts;View Company Online
130072-33T;Bit Harmonics;;Formerly Accelerator/Incubator backed;2013;Energy;Energy Services;0,01;;20-Feb-2013;Grant;AARP Foundation;View Company Online
250802-65T;Bit Journey;;Venture Capital-Backed;2014;Business Products and Services (B2B);Commercial Services;0,43;;18-Jun-2018;Seed Round;;View Company Online
260823-88T;BitaEnergy AI Systems;;Accelerator/Incubator Backed;2022;Energy;Other Energy;;;01-Jan-2024;Accelerator/Incubator;Bilgiyi Ticarileştirme Merkezi;View Company Online
254345-14T;Bitancial;;Accelerator/Incubator Backed;;Information Technology;Software;;;;Accelerator/Incubator;Edmonton Unlimited;View Company Online
262589-23T;BitBall;;Venture Capital-Backed;;Information Technology;Software;1,84;;09-Jun-2024;Early Stage VC;Bitfun Capital;View Company Online
277931-17T;BitBall;;Venture Capital-Backed;;Information Technology;Software;4,65;;19-Nov-2024;Early Stage VC;Intelligent Cricket, Neon Eight Group;View Company Online
122934-16T;Bitbanger Labs;;Corporation;2010;Consumer Products and Services (B2C);Consumer Durables;0,30;;17-Nov-2017;Product Crowdfunding;;View Company Online
122935-33T;Bitbanger Labs;;Corporation;2010;Consumer Products and Services (B2C);Consumer Durables;0,46;;13-Dec-2013;Product Crowdfunding;;View Company Online
122935-87T;Bitbanger Labs;;Corporation;2010;Consumer Products and Services (B2C);Consumer Durables;0,44;;18-May-2012;Product Crowdfunding;;View Company Online
37661-86T;bitBlu;;Corporation;2013;Information Technology;Software;;;09-Nov-2013;Bankruptcy: Liquidation;;View Company Online
182712-34T;Bitcar;;Venture Capital-Backed;2014;Information Technology;Software;;;;Early Stage VC;Lateral Capital Ventures;View Company Online
82719-46T;Bitchip Foods;;Corporate Backed or Acquired;;Consumer Products and Services (B2C);Consumer Non-Durables;14,17;;28-Mar-2017;Joint Venture;Britannia Industries (BOM: 500825), Chipita;View Company Online
123585-67T;BitClave;;Corporation;2016;Information Technology;Software;21,72;;30-Nov-2017;Product Crowdfunding;;View Company Online
277602-76T;Bitcoin Derby;;Accelerator/Incubator Backed;;Consumer Products and Services (B2C);Services (Non-Financial);0,14;;;Accelerator/Incubator;BitcoinFi Accelerator;View Company Online
166495-60T;Bitcoin IRA;;Angel-Backed;2016;Information Technology;Software;;;01-Jan-2019;Angel (individual);;View Company Online
49936-51T;Bitcoin Nordic;;Formerly Accelerator/Incubator backed;2012;Information Technology;Software;;;01-Jan-2014;Accelerator/Incubator;Accelerace;View Company Online
49936-96T;Bitcoin Nordic;;Formerly Accelerator/Incubator backed;2012;Information Technology;Software;;;25-Sep-2014;Merger/Acquisition;Coinify;View Company Online
49934-80T;Bitcoin-Internet Payment System (Payment Gateway Technology);;Corporate Backed or Acquired;;Information Technology;Software;;;11-May-2015;Corporate Asset Purchase;Coinify(Lasse Olesen);View Company Online
277577-92T;Bitcoin.bb;;Venture Capital-Backed;2020;Financial Services;Capital Markets/Institutions;;;;Early Stage VC;SOVO Ventures;View Company Online
48648-79T;Bitcoinist;;Formerly VC-backed;2013;Consumer Products and Services (B2C);Media;;;;Early Stage VC;;View Company Online
48648-88T;Bitcoinist;;Formerly VC-backed;2013;Consumer Products and Services (B2C);Media;;;16-Apr-2015;Early Stage VC;;View Company Online
227684-80T;Bitcoinist;;Formerly VC-backed;2013;Consumer Products and Services (B2C);Media;;;01-Apr-2023;Secondary Transaction - Private;;View Company Online
37616-68T;Bitcoins Insider;;Corporation;2013;Business Products and Services (B2B);Other Business Products and Services;;;18-Aug-2014;Corporate Asset Purchase;Prometheus Global Media;View Company Online
254645-83T;Bitcom IOT;;Accelerator/Incubator Backed;2021;Information Technology;Computer Hardware;;;;Accelerator/Incubator;InnovX (Bucharest);View Company Online
235936-72T;BitCore (Other Financial Services);;Angel-Backed;2017;Financial Services;Other Financial Services;;;;Angel (individual);Business Angels of Slovenia;View Company Online
235943-29T;BitCore (Other Financial Services);;Angel-Backed;2017;Financial Services;Other Financial Services;;;;Secondary Transaction - Private;;View Company Online
26496-91T;Bitdeli;;Formerly VC-backed;2011;Information Technology;Communications and Networking;;;12-Jun-2013;Merger/Acquisition;NextRoll(Aaron Bell);View Company Online
26497-54T;Bitdeli;;Formerly VC-backed;2011;Information Technology;Communications and Networking;0,16;1,72;29-May-2012;Seed Round;DCVC(Matthew Ocko), Matt Humphrey(Matt Humphrey), Mike Greenfield(Mike Greenfield);View Company Online
26526-52T;Bitdeli;;Formerly VC-backed;2011;Information Technology;Communications and Networking;;;18-Sep-2012;Seed Round;Jared Kopf(Jared Kopf);View Company Online
258459-22T;Bite (Information Services (B2C));;Accelerator/Incubator Backed;2022;Consumer Products and Services (B2C);Media;0,09;;;Accelerator/Incubator;GAIA Accelerator;View Company Online
258460-03T;Bite (Information Services (B2C));;Accelerator/Incubator Backed;2022;Consumer Products and Services (B2C);Media;0,04;;;Grant;National Technology Development Program;View Company Online
38455-84T;BitePal;;Formerly Accelerator/Incubator backed;2012;Consumer Products and Services (B2C);Media;0,01;;14-May-2012;Accelerator/Incubator;StartFast Ventures Management;View Company Online
156979-45T;BitePal;;Formerly Accelerator/Incubator backed;2012;Consumer Products and Services (B2C);Media;;;01-Jan-2015;Accelerator/Incubator;eLab(New York);View Company Online
253785-07T;BitePal;;Formerly Accelerator/Incubator backed;2012;Consumer Products and Services (B2C);Media;;;01-Sep-2023;Secondary Transaction - Private;;View Company Online
199738-81T;Bitfold;;Venture Capital-Backed;2017;Information Technology;Software;0,36;;08-Dec-2017;Seed Round;;View Company Online
199739-35T;Bitfold;;Venture Capital-Backed;2017;Information Technology;Software;2,84;;01-Jul-2020;Seed Round;;View Company Online
199740-52T;Bitfold;;Venture Capital-Backed;2017;Information Technology;Software;4,60;;01-Jan-2021;Grant;NCBR Investment Fund;View Company Online
199741-24T;Bitfold;;Venture Capital-Backed;2017;Information Technology;Software;;;01-Jan-2022;Angel (individual);;View Company Online
199741-96T;Bitfold;;Venture Capital-Backed;2017;Information Technology;Software;0,85;;03-Apr-2022;Seed Round;;View Company Online
218449-09T;Bitfold;;Venture Capital-Backed;2017;Information Technology;Software;;;01-Jan-2022;Accelerator/Incubator;Astralabs;View Company Online
127482-49T;BitForex;;Venture Capital-Backed;2017;Financial Services;Other Financial Services;;;18-Jul-2018;Early Stage VC;Byte Capital, Consensus Lab (Blockchain investor);View Company Online
121630-69T;Bithank;;Venture Capital-Backed;;Financial Services;Other Financial Services;;;09-Jul-2018;Seed Round;Consensus Lab (Blockchain investor), Genesis Capital (China), H Capital;View Company Online
247384-54T;Bitlight Labs;;Venture Capital-Backed;2023;Information Technology;Software;;;02-Feb-2024;Seed Round;Bitlight Foundation, Eureka Corporate Group, Fundamental Labs, Gate Ventures (Gate.io)(Kevin Yang), HV Capital, MEXC Ventures, MH Ventures, Moonrock Capital, Oak Grove Ventures, Waterdrip Capital, XT Labs;View Company Online
125634-97T;Bitmakers;;Formerly Accelerator/Incubator backed;2015;Healthcare;Healthcare Devices and Supplies;;;;Accelerator/Incubator;Agoranov;View Company Online
125636-32T;Bitmakers;;Formerly Accelerator/Incubator backed;2015;Healthcare;Healthcare Devices and Supplies;;;01-May-2019;Out of Business;;View Company Online
38572-93T;Bitnet;;Formerly VC-backed;2014;Information Technology;Software;;;01-Jan-2014;Seed Round;;View Company Online
38573-11T;Bitnet;--0,07;Formerly VC-backed;2014;Information Technology;Software;11,42;;20-Oct-2014;Early Stage VC;Blockchain Capital, Buchanan Investments(Tad Buchanan), Commerce Ventures, Digital Currency Group, Highland Capital Partners(Peter Bell), James Pallotta(James Pallotta), Rakuten Group (TKS: 4755)(Yasufumi Hirai), Raptor Group, Stephens Investment Management(Bradford Stephens), Stuart Peterson, Webb Investment Network(Maynard Webb);View Company Online
